name,servings,kcal,protein_g,carbs_g,fat_g,tags,allergens,cuisine,ingredients,steps
Masala Oats with Veggies,1,350,14,55,8,"vegetarian,indian,breakfast",gluten (if not GF oats),indian,rolled oats; mixed veggies; tomato; spices; water; salt,Dry roast oats; sauté veggies with spices; add oats and water; simmer 5-7 min.
Paneer Bhurji Wrap,1,420,24,45,16,"vegetarian,indian,lunch","dairy,gluten (if regular wrap)",indian,paneer; onion; tomato; capsicum; spices; wholewheat wrap,Scramble paneer with veggies; fill wrap; toast 1-2 min.
Chana Salad Bowl,1,380,18,48,12,"vegan,indian,lunch",none,indian,boiled chickpeas; cucumber; tomato; onion; lemon; masala,"Mix all; season with lemon, salt, spices."
Grilled Chicken Tikka Bowl,1,450,40,35,16,"omnivore,high-protein,indian,dinner",dairy (yogurt),indian,chicken breast; yogurt; tikka masala; lemon; brown rice; salad,Marinate; grill/bake; serve with rice and salad.
Tofu Stir-fry & Rice,1,430,26,55,12,"vegan,asian,dinner",soy,thai,tofu; mixed veg; soy sauce; garlic; ginger; jasmine rice,Stir-fry; add sauce; serve with rice.
Egg Masala & Roti,1,420,23,45,14,"vegetarian,high-protein,indian,dinner","eggs,gluten (roti)",indian,eggs; onion; tomato; spices; wholewheat roti,Make curry; add boiled eggs; serve with roti.
Greek Yogurt Parfait,1,300,22,40,6,"vegetarian,breakfast",dairy,mediterranean,greek yogurt; berries; honey; granola,"Layer yogurt, berries, granola, drizzle honey."
Poha with Peanuts,1,360,8,60,10,"vegetarian,indian,breakfast",peanuts,indian,poha; onion; peas; peanuts; curry leaves; spices,Rinse poha; temper spices; toss ingredients; steam 2 min.
Upma (Semolina),1,380,9,62,10,"vegetarian,indian,breakfast",gluten (semolina),indian,semolina; mixed veg; mustard seeds; curry leaves; water,Roast semolina; make tempering; add water; stir till thick.
Omelette & Toast,1,350,22,35,12,"vegetarian,breakfast,high-protein","eggs,gluten (toast)",british,eggs; onion; tomato; spinach; wholegrain bread,Whisk eggs; cook omelette; toast bread.
Khichdi (Moong & Rice),1,420,16,70,8,"vegetarian,indian,comfort",none,indian,moong dal; rice; turmeric; ghee; cumin,Pressure cook dal+rice with spices; temper with cumin.
Rajma & Rice (light),1,450,18,70,8,"vegan,indian,dinner",none,indian,kidney beans; tomato; onion; spices; basmati rice,Cook rajma; simmer gravy; serve with rice.
Grilled Fish & Quinoa,1,430,36,40,12,"pescatarian,high-protein,dinner",fish,mediterranean,white fish; lemon; herbs; quinoa; greens,Season fish; grill; cook quinoa; serve with greens.
Chicken Salad Wrap,1,420,34,40,12,"omnivore,lunch",gluten (wrap),american,chicken; lettuce; tomato; light mayo/yogurt; wrap,Mix filling; roll in wrap.
