item,relative_qty
tomato,11
spices,10
onion,8
lemon,7
peas,5
cucumber,4
eggs,3
lettuce,3
rice,3
berries,2
brown rice,2
carrot,2
chicken,2
greens,2
milk/alt,2
oats,2
paneer,2
pita,2
quinoa,2
water,2
white fish,2
wrap,2
banana,1
basmati rice,1
beans,1
boiled chickpeas,1
canned tuna,1
carrots,1
chaat masala,1
chana,1
cherry tomato,1
chia,1
chicken breast,1
chicken mince,1
chickpeas,1
coconut chutney,1
coconut milk light,1
curry leaves,1
curry spices,1
dosa batter,1
feta,1
granola,1
greek yogurt,1
herbs,1
honey,1
hummus,1
light mayo/yogurt,1
masala,1
mixed veg,1
mixed veggies,1
moong dal,1
moong sprouts,1
olive,1
olives,1
peanut butter,1
peanuts,1
poha,1
ragi flour,1
rolled oats,1
roti,1
salad,1
salsa,1
salt,1
soy sauce,1
spinach,1
tikka masala,1
toast,1
tofu,1
toor/moong dal,1
veggies,1
whey/alt protein,1
wholegrain bread,1
yogurt,1
